average_IoU,percentage_above_thresh,observations
0.4363114556906942,0.6893203883495146,103
0.7611559008741918,1.0,76
0.04387102586204715,0.06593406593406594,91
0.6081088171243734,0.9925373134328358,134
0.0386436525598107,0.061224489795918366,147
0.3107783428402489,0.04878048780487805,41
0.5013814450623082,0.8292682926829268,123
0.4744700638077235,0.784452296819788,283
0.4593738261939005,0.7394366197183099,142
0.40400562648359617,0.6646341463414634,164
0.4191380072972092,0.726027397260274,73
0.3030390325524768,0.4672131147540984,122
0.6480351410871552,1.0,122
0.32922509179124204,0.5486111111111112,144
0.43415859780975274,0.7111111111111111,90
0.27313409865226534,0.4410480349344978,229
0.18459556859684076,0.27586206896551724,145
0.4851694361223756,0.6666666666666666,42
0.40660585842757535,0.6022727272727273,88
0.4344711947734246,0.7340425531914894,188
0.6002049611232382,0.9130434782608695,138
0.050176503216143795,0.09302325581395349,86
0.0,0.0,119
0.6396991565438515,1.0,30
0.0012876884238994897,0.0,133
0.01559782788786341,0.0273972602739726,73
0.5370128345592705,0.8571428571428571,98
0.6543681670882391,0.9368421052631579,95
0.41137497525199546,0.6936416184971098,173
0.021066855849073727,0.028037383177570093,107
0.3639801777250517,0.6012269938650306,163
0.33432887713413095,0.5393258426966292,178
0.41785769821461083,0.7039106145251397,179
0.5784758189535717,0.9324324324324325,74
0.43563382201427797,0.8055555555555556,36
0.23633135353357526,0.3795180722891566,166
0.047517973023046986,0.0,195
0.3130159522336928,0.5,80
0.5211380129165505,0.8947368421052632,76
0.27018857473499824,0.3695652173913043,46
0.5194161072339452,0.81,100
0.4711302055494569,0.7894736842105263,95
0.2348154989417746,0.4057971014492754,69
0.4871553328945262,0.7794117647058824,68
0.2753723543489548,0.4966887417218543,151
0.39738998852098906,0.5256410256410257,78
0.48458697458473265,0.8679245283018868,53
0.31477213487521327,0.4818181818181818,110
0.2705113940330625,0.4094488188976378,127
0.4674107925856217,0.6972477064220184,109
0.02871384127019708,0.011904761904761904,84
0.6042036985269998,0.9716981132075472,106
0.29723746881144597,0.36036036036036034,111
0.3500597441696747,0.5,114
0.6724651251778871,0.9516129032258065,62
0.26167776104841195,0.416,125
0.47980148678389845,0.6811594202898551,69
0.28537298121368354,0.4050632911392405,79
0.44278350970761116,0.6666666666666666,42
0.4599331787583196,0.6434108527131783,129
0.44541222022257815,0.801980198019802,101
0.10707590888933212,0.13636363636363635,110
0.18298711026399486,0.19047619047619047,63
0.4804038357091415,0.775,80
0.3365418437554182,0.5,66
0.41313101977589645,0.6818181818181818,88
0.6260397253528607,0.96,75
0.0473718148631986,0.031578947368421054,95
0.4286258285924937,0.711864406779661,59
0.21534949991025834,0.3333333333333333,42
0.3547676964002141,0.5263157894736842,19
0.0655178577288905,0.023255813953488372,43
0.024576948998963666,0.0,20
0.31136982014007575,0.4387755102040816,98
0.1784414311891125,0.3611111111111111,36
0.21924156682293222,0.31666666666666665,60
0.6001337325353423,0.9431818181818182,88
0.5036766178029363,0.8043478260869565,92
0.551696557564438,0.9340659340659341,91
0.589172408324613,0.855072463768116,69
0.1487049668811259,0.11392405063291139,79
0.009787563380613632,0.0,89
0.0035782261134373813,0.0,95
0.5201223753726645,0.7878787878787878,33
0.21509137669789793,0.352112676056338,71
0.59835174552108,1.0,44
0.4625951489673682,0.625,80
0.056549901138515296,0.0,58
0.30746122365473694,0.5,124
0.10463635655676452,0.08653846153846154,104
0.5902580650509868,1.0,74
0.6820896357127381,0.9912280701754386,114
0.41907875772315595,0.7108433734939759,83
0.456497434765222,0.8640776699029126,103
0.3144233231997437,0.5221238938053098,113
0.24380049853904326,0.3333333333333333,90
0.4298374581733796,0.6461538461538462,65
0.3256985311658573,0.32727272727272727,55
0.5073423457831582,0.8282828282828283,99
0.43838892938903773,0.6842105263157895,57
0.19134814962980817,0.22077922077922077,77
0.4339452982195269,0.6056338028169014,71
0.3808609788410253,0.4864864864864865,74
0.5036885469704682,0.9239130434782609,92
0.48640651723112555,0.6868686868686869,99
0.3337092529907479,0.53125,96
0.5400264363403057,0.8169014084507042,71
0.49625906293213606,0.8571428571428571,56
0.5030792139136268,0.7659574468085106,94
0.46062046796957373,0.696969696969697,66
